TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,,,Theft,,,,Riots,
No.,,,,(Sec.379-382 IPQ,,,,"(Sec.143-145,147-",
,,Total,,Auto Theft,,Other Theft,,"151,153,153A,153B,157,",
,,,,,,,,"158,160 IPC)",
,,I,R,I,R,I,R,I,R
(1),(2),(29),S',(31),(32),(33),(34),(35),(36)
STATES:,,,,,,,,,
1,ANDHRA PRADESH,26756,31.8,7422,8.8,19334,23.0,2231,2.7
2,ARUNACHALPRADESH,445,36.0,139,11.3,306,24.8,31,2.5
3,ASSAM,7860,25.4,2124,6.9,5736,18.5,2183,7.0
4,BIHAR,15544,16.0,4257,4.4,11287,11.6,8809,9.1
5,CHHATTISGARH,5805,23.7,2139,8.7,3666,14.9,1092,4.5
6,GOA,1034,59.3,359,20.6,675,38.7,64,3.7
7,GUJARAT,16794,28.9,9817,16.9,6977,12.0,1623,2.8
8,HARYANA,16266,66.1,11299,45.9,4967,20.2,1414,5.8
9,HIMACHAL PRADESH,838,12.5,334,5.0,504,7.5,615,9.2
10,JAMMU & KASHMIR,2510,18.8,967,7.2,1543,11.5,2169,16.2
11,JHARKHAND,7090,22.9,2709,8.8,4381,14.2,2447,7.9
12,KARNATAKA,20093,34.2,10840,18.4,9253,15.7,7710,13.1
13,KERALA,4380,12.5,1486,4.2,2894,8.3,8724,24.9
14,MADHYA PRADESH,21577,29.9,11353,15.7,10224,14.2,2606,3.6
15,MAHARASHTRA,52565,47.8,18676,17.0,33889,30.8,8412,7.6
16,MANIPUR,417,15.4,254,9.4,163,6.0,65,2.4
17,MEGHALAYA,664,25.5,152,5.8,512,19.6,7,0.3
18,MIZORAM,823,81.6,69,6.8,754,74.8,0,0.0
19,NAGALAND,397,17.6,80,3.6,317,14.1,2,0.1
20,ODISHA,7572,18.5,2627,6.4,4945,12.1,1779,4.4
21,PUNJAB,5446,20.0,2467,9.0,2979,10.9,0,0.0
22,RAJASTHAN,22324,33.3,13245,19.7,9079,13.5,986,1.5
23,SIKKIM,53,8.7,8,1.3,45,7.4,4,0.7
24,TAMIL NADU,14583,21.6,5045,7.5,9538,14.1,2664,3.9
25,TRIPURA,457,12.7,64,1.8,393,10.9,163,4.5
26,UTTAR PRADESH,31153,15.7,18216,9.2,12937,6.5,4186,2.1
27,UTTARAKHAND,2138,21.8,871,8.9,1267,12.9,458,4.7
28,WEST BENGAL,19389,21.5,4123,4.6,15266,16.9,6809,7.5
,TOTAL (STATES),304973,26.2,131142,11.3,173831,14.9,67253,5.8
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,121,28.0,22,5.1,99,22.9,11,2.5
30,CHANDIGARH,1481,131.6,898,79.8,583,51.8,65,5.8
31,D & N HAVELI,63,22.3,34,12.0,29,10.2,44,15.5
32,DAMAN & DILI,47,23.5,29,14.5,18,9.0,11,5.5
33,DELHI,23088,125.9,14966,81.6,8122,44.3,53,0.3
34,LAKSHADWEEP,5,6.9,0,0.0,5,6.9,3,4.2
35,PUDUCHERRY,534,47.8,384,34.4,150,13.4,131,11.7
,TOTAL (UTs),25339,117.5,16333,75.7,9006,41.8,318,1.5
,TOTAL (ALL-INDIA),330312,27.9,147475,12.4,182837,15.4,67571,5.7
,,,,,,,,,
212,,,,,,,,,
